Type of slope movement,Season,min_volume,median_volume,max_volume,Relative size,Rock unit,Rockfall,slope_angle_degrees,trigger
RF,Winter,50000,200000,500000,large,Kec,Yes,69.0,Spontaneous
RF,Fall,5000,20000,50000,large,Ks,Yes,61.3,Precipitation
RF,Spring,5000,20000,50000,large,Kec,Yes,64.8,Spontaneous
RF,Summer,5,70,50,medium,Khd,Yes,74.1,Light/Thermal
RF,Summer,5000,20000,50000,large,Kgp,Yes,69.3,Spontaneous
RF,Spring,5000,20000,50000,large,Kgp,Yes,85.4,Earthquake
RF,Spring,5,36000,50,large,Khd,Yes,69.6,Earthquake
RF,Spring,500,2000,5000,large,Ks,Yes,63.6,Earthquake
RF,Spring,500,2000,5000,large,Khd,Yes,77.4,Earthquake
RS,Spring,500,2000,5000,large,Kgp,No,87.8,Earthquake
RS,Fall,500,2000,5000,large,Qat,No,86.9,Spontaneous
RF,Spring,5,1500,50,large,Kga,Yes,78.7,Spontaneous
RF,Spring,5,1000,50,large,Kec,Yes,75.8,Spontaneous
RS,Spring,50,200,500,medium,Ks,No,73.6,Spontaneous
RS,Summer,500,2000,5000,large,Kgp,No,63.6,Spontaneous
RS,Spring,0,2,5,small,Kgp,No,51.2,Spontaneous
RS,Fall,5,20,50,small,Qat,No,72.5,Precipitation
RS,Fall,5,20,50,small,Kec,No,69.0,Precipitation
RS,Winter,5,20,50,small,Kgp,No,75.5,Spontaneous
RS,Winter,5,20,50,small,Khd,No,62.7,Spontaneous
RF,Spring,0,2,5,small,Khd,Yes,54.8,Spontaneous
RS,Spring,5,20,50,small,Kec,No,58.5,Spontaneous
RS,Winter,5000,20000,50000,large,Khd,No,87.0,Spontaneous
RS,Winter,500,2000,5000,large,Kec,No,75.2,Precipitation
RS,Spring,50,200,500,medium,Kga,No,49.0,Precipitation
DS,Spring,5,20,50,small,Qat,No,58.9,Precipitation
RS,Spring,5,20,50,small,Khd,No,68.2,Precipitation
RS,Winter,500,2000,5000,large,Kga,No,88.9,Precipitation
RS,Winter,5,20,50,small,Khd,No,60.2,Precipitation
DF,Winter,5,20,50,small,Qat,No,87.2,Precipitation
RF,Winter,500,2000,5000,large,Khd,Yes,58.8,Precipitation
DS,Winter,5,57,50,medium,Qat,No,73.5,Precipitation
DS,Fall,50,200,500,medium,Qat,No,62.2,Precipitation
RS,Fall,50,200,500,medium,Kg,No,82.4,Precipitation
RS,Fall,5,20,50,small,Kga,No,76.4,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,71.5,Precipitation
DF/DS,Spring,5,20,50,small,Qat,No,78.5,Precipitation
DF,Spring,50,200,500,medium,Qat,No,68.9,Precipitation
RS,Summer,5,8450,50,large,Kga,No,83.0,Spontaneous
RS,Summer,50,200,500,medium,Kec,No,74.6,Spontaneous
RS,Winter,5,20,50,small,Kec,No,75.0,Spontaneous
RF,Spring,500,2000,5000,large,Kga,Yes,68.7,Precipitation
DS,Winter,500,2000,5000,large,Qat,No,71.3,Precipitation
DS,Winter,5,20,50,small,Qat,No,83.7,Precipitation
RF,Summer,5,20,50,small,Ks,Yes,76.7,Spontaneous
DS,Winter,50,200,500,medium,Qat,No,54.5,Precipitation
RS,Summer,50,200,500,medium,Kgp,No,76.5,Precipitation
RF,Winter,5000,20000,50000,large,Ks,Yes,80.1,Spontaneous
DS,Winter,50,200,500,medium,Qat,No,57.9,Spontaneous
RS,Winter,5,20,50,small,Kga,No,82.3,Spontaneous
RS,Summer,50,200,500,medium,Kdg,No,56.6,Spontaneous
RS,Summer,5,242,50,medium,Kga,No,58.1,Spontaneous
RS,Fall,5,20,50,small,Khd,No,75.1,Precipitation
RS,Winter,50,200,500,medium,Ks,No,74.9,Spontaneous
RS/DS,Winter,5,20,50,small,Kec,No,77.0,Spontaneous
RS,Winter,50,200,500,medium,Kec,No,73.0,Spontaneous
RS,Summer,5,20,50,small,Khd,No,74.0,Spontaneous
DS,Winter,5,20,50,small,Qat,No,80.3,Precipitation
RS/DS,Winter,5,9182,50,large,Kec,No,62.8,Precipitation
RS,Winter,5,25,50,small,Ka,No,53.8,Precipitation
RF,Winter,0,2,5,small,Kga,Yes,85.8,Precipitation
RS,Winter,5,51,50,medium,Kga,No,68.8,Spontaneous
DSL,Winter,50,200,500,medium,Qat,No,73.4,Spontaneous
RF,Spring,50,200,500,medium,Khd,Yes,84.7,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,75.0,Spontaneous
RS,Spring,5,1,50,small,Kdg,No,69.7,Spontaneous
RF,Spring,500,2000,5000,large,Ks,Yes,77.7,Freeze-Thaw
RF,Spring,5,20,50,small,Ks,Yes,78.0,Freeze-Thaw
RS,Spring,5,20,50,small,Kgp,No,75.7,Freeze-Thaw
RS,Fall,0,2,5,small,Qat,No,47.1,Spontaneous
RS,Winter,5,118,50,medium,Kec,No,54.6,Spontaneous
RS,Winter,5,600,50,large,Kga,No,60.5,Precipitation
RS,Spring,500,2000,5000,large,Kga,No,76.3,Precipitation
RS,Fall,50,200,500,medium,Kdg,No,78.9,Precipitation
RS,Spring,50,200,500,medium,Kec,No,80.7,Spontaneous
RS,Summer,5000,20000,50000,large,Krm,No,68.6,Spontaneous
DS,Spring,500,2000,5000,large,Qat,No,70.3,Spontaneous
DS,Spring,50,200,500,medium,Qat,No,65.8,Spontaneous
DF,Winter,500,2000,5000,large,Qat,No,76.1,Precipitation
RS,Winter,5,140,50,medium,Khd,No,72.1,Spontaneous
DF,Fall,5,765,50,large,Qat,No,72.9,Precipitation
DF,Fall,500,2000,5000,large,Qat,No,62.7,Precipitation
DSL,Spring,50,200,500,medium,Qat,No,67.1,Spontaneous
RS,Summer,50,200,500,medium,Kgp,No,71.9,Spontaneous
RS,Winter,500,2000,5000,large,Ks,No,72.0,Spontaneous
RS,Winter,5,20,50,small,Ks,No,74.5,Spontaneous
ESL,Winter,50,200,500,medium,Qat,No,56.5,Precipitation
RS,Winter,5,42,50,small,Kec,No,66.7,Spontaneous
DSL,Winter,50,200,500,medium,Qat,No,65.1,Precipitation
RS,Spring,5,864,50,large,Kec,No,78.1,Spontaneous
RS,Winter,5000,20000,50000,large,Kec,No,71.2,Spontaneous
RS,Winter,50,200,500,medium,Kga,No,85.2,Spontaneous
RS,Spring,5000,20000,50000,large,Kdg,No,82.9,Spontaneous
DS,Spring,5,460,50,medium,Qat,No,59.1,Precipitation
RF,Winter,5,1,50,small,Kec,Yes,69.1,Spontaneous
RS,Spring,500,2000,5000,large,Kec,No,79.2,Spontaneous
RF,Summer,0,0,0,small,Khd,Yes,73.2,Spontaneous
RF,Summer,5,0,50,small,Kgp,Yes,70.2,Spontaneous
RS,Fall,5000,20000,50000,large,Ks,No,58.8,Precipitation
RS,Fall,5000,20000,50000,large,Ks,No,59.9,Spontaneous
DS,Winter,5,138,50,medium,Qat,No,82.5,Spontaneous
RS,Summer,5,23,50,small,Kec,No,62.2,Spontaneous
DF,Fall,5,100,50,medium,Qat,No,70.3,Spontaneous
RF,Fall,5,4,50,small,Khd,Yes,68.5,Spontaneous
RS,Winter,5,84,50,medium,Khd,No,50.3,Spontaneous
RS,Winter,5,3,50,small,Khd,No,69.1,Spontaneous
RS,Spring,5,765,50,large,Kga,No,79.2,Spontaneous
RS,Spring,50,200,500,medium,Kga,No,72.2,Spontaneous
RS,Spring,5,12,50,small,Khd,No,84.6,Spontaneous
RS,Spring,0,2,5,small,Kec,No,67.9,Spontaneous
RS,Summer,5,15,50,small,Khd,No,77.7,Spontaneous
RS,Winter,5,20,50,small,Ka,No,58.1,Spontaneous
RS,Summer,5,5,50,small,Khd,No,68.5,Spontaneous
RS,Summer,5,17,50,small,Khd,No,71.6,Spontaneous
RF,Spring,5,153,50,medium,Kec,Yes,68.6,Spontaneous
RS,Summer,5,2,50,small,Khd,No,77.5,Spontaneous
RS,Fall,5,20,50,small,Khd,No,69.4,Earthquake
RF,Spring,5,1,50,small,Khd,Yes,85.0,Spontaneous
DF,Winter,50,200,500,medium,Qat,No,78.7,Spontaneous
RS,Winter,5,20,50,small,Khd,No,77.8,Spontaneous
DF,Winter,5,153,50,medium,Qat,No,67.1,Spontaneous
DF,Winter,5,31,50,small,Qat,No,66.1,Spontaneous
DF,Winter,5,421,50,medium,Qat,No,68.2,Spontaneous
DF,Winter,5,50,50,medium,Qat,No,81.8,Spontaneous
RS,Winter,50,200,500,medium,Ka,No,65.5,Spontaneous
DS,Winter,500,2000,5000,large,Qat,No,53.1,Spontaneous
RS,Spring,5,77,50,medium,Kga,No,77.2,Spontaneous
RS,Summer,50,200,500,medium,Kgp,No,58.8,Spontaneous
DS,Winter,5,383,50,medium,Qat,No,72.4,Precipitation
RS,Spring,5,20,50,small,Khd,No,82.7,Spontaneous
RF,Fall,5,2,50,small,Kgp,Yes,53.6,Spontaneous
RF,Spring,5,2,50,small,Kgp,Yes,73.5,Spontaneous
RS,Spring,5,20,50,small,Krm,No,54.2,Spontaneous
RS,Spring,0,2,5,small,Khd,No,66.8,Spontaneous
RS,Spring,5,1,50,small,Qat,No,76.5,Spontaneous
RS,Winter,50,200,500,medium,Ks,No,74.3,Spontaneous
DF,Winter,5,230,50,medium,Qat,No,70.6,Spontaneous
DF,Winter,5,77,50,medium,Qat,No,56.0,Spontaneous
RS,Winter,5,23,50,small,Kec,No,81.1,Spontaneous
RF,Spring,5,20,50,small,Kga,Yes,84.8,Spontaneous
RS,Spring,50,200,500,medium,Kg,No,65.2,Spontaneous
RS,Spring,5,1,50,small,Kg,No,57.2,Spontaneous
DF,Summer,50,200,500,medium,Qat,No,77.2,Precipitation
RS,Spring,5,9,50,small,Khd,No,68.7,Spontaneous
RF,Summer,5,1500,50,large,Khd,Yes,70.0,Spontaneous
RS,Spring,5,20,50,small,Kec,No,66.0,Spontaneous
RS,Winter,50,200,500,medium,Kgp,No,73.8,Spontaneous
RS,Fall,5,6000,50,large,Kec,No,70.9,Spontaneous
RF,Spring,5,160,50,medium,Kec,Yes,71.6,Spontaneous
RS,Winter,5,18000,50,large,Kec,No,62.5,Spontaneous
RS,Spring,5,20,50,small,Kec,No,67.1,Spontaneous
RF,Spring,50,200,500,medium,Khd,Yes,60.9,Spontaneous
RS,Spring,5,20,50,small,Qat,No,76.6,Spontaneous
DS,Spring,5,20,50,small,Qat,No,57.0,Precipitation
RF,Winter,5,1,50,small,Khd,Yes,54.8,Freeze-Thaw
RF,Spring,50,200,500,medium,Kt,Yes,81.0,Spontaneous
RF,Spring,5,200,50,medium,Kec,Yes,61.9,Spontaneous
RF,Spring,5,510,50,large,Kec,Yes,60.4,Spontaneous
RS,Spring,50,200,500,medium,Kec,No,84.2,Spontaneous
RF,Spring,5,2280,50,large,Kec,Yes,78.3,Precipitation
RS,Spring,5,20,50,small,Ks,No,76.5,Spontaneous
RF,Spring,5,3000,50,large,Khd,Yes,58.0,Spontaneous
RS,Spring,5,20,50,small,Kgp,No,82.8,Spontaneous
DF,Summer,500,2000,5000,large,Qat,No,71.5,Precipitation
RS,Spring,500,2000,5000,large,Krm,No,49.5,Spontaneous
RS,Spring,0,2,5,small,Khd,No,66.0,Freeze-Thaw
RF,Winter,500,2000,5000,large,Kec,Yes,85.0,Precipitation
DF,Winter,50,200,500,medium,Qat,No,69.6,Precipitation
RS,Winter,50,200,500,medium,Ks,No,81.6,Precipitation
RS,Winter,5,20,50,small,Kec,No,56.7,Precipitation
RF,Spring,50,200,500,medium,Khd,Yes,65.7,Earthquake
RF,Spring,50,200,500,medium,Qat,Yes,79.4,Earthquake
RS,Spring,5,20,50,small,Kec,No,74.8,Earthquake
RS,Spring,50,200,500,medium,Khd,No,71.9,Earthquake
RF,Spring,50,200,500,medium,Ka,Yes,84.4,Earthquake
RF,Spring,5,20,50,small,Ks,Yes,79.7,Earthquake
RF,Spring,0,2,5,small,Khd,Yes,51.9,Earthquake
RS,Spring,500,2000,5000,large,Ks,No,79.7,Earthquake
RF,Spring,5,8,50,small,Ks,Yes,64.6,Earthquake
RF,Fall,5,100,50,medium,Khd,Yes,77.5,Spontaneous
RF,Fall,5,1,50,small,Kec,Yes,71.1,Spontaneous
RS,Fall,5,20,50,small,Khd,No,53.6,Spontaneous
RF,Fall,5,1500,50,large,Ks,Yes,84.0,Freeze-Thaw
DF,Spring,50,200,500,medium,Kec,No,63.3,Precipitation
RS,Winter,0,2,5,small,Kec,No,58.6,Spontaneous
RS,Winter,500,2000,5000,large,Kec,No,75.0,Spontaneous
RF,Spring,5,104,50,medium,Khd,Yes,55.2,Spontaneous
RS,Spring,5,20,50,small,Kgp,No,69.7,Spontaneous
RF,Spring,5,173,50,medium,Ks,Yes,77.0,Spontaneous
RS,Winter,5,24000,50,large,Kec,No,80.8,Precipitation
RF,Winter,50,200,500,medium,Khd,Yes,66.4,Spontaneous
RF,Winter,5,1,50,small,Khd,Yes,57.5,Spontaneous
RS,Spring,5,100000,50,large,Kec,No,67.8,Precipitation
DS,Spring,50,200,500,medium,Qat,No,78.4,Precipitation
RF,Spring,5,1,50,small,Ks,Yes,56.6,Spontaneous
RF,Fall,5,38,50,small,Kec,Yes,84.1,Light/Thermal
RF,Fall,5,249,50,medium,Ks,Yes,83.3,Precipitation
RS,Winter,5,25,50,small,Kic,No,72.9,Spontaneous
RS,Spring,5,1,50,small,Kcp,No,73.9,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,76.7,Earthquake
RF,Spring,50,200,500,medium,Ks,Yes,73.5,Earthquake
DS,Spring,500,2000,5000,large,Qat,No,68.5,Spontaneous
RS,Spring,0,2,5,small,Kgp,No,78.8,Spontaneous
RS,Spring,5,1,50,small,Kgp,No,78.6,Spontaneous
RF,Fall,5,7,50,small,Qat,Yes,67.3,Spontaneous
RF,Spring,5,20,50,small,Kgp,Yes,59.2,Spontaneous
DF,Summer,50,200,500,medium,Khd,No,79.0,Precipitation
RF,Fall,5,20,50,small,Ks,Yes,71.6,Spontaneous
RS,Winter,50,200,500,medium,Krm,No,64.8,Spontaneous
RF,Summer,5,20,50,small,Ks,Yes,57.5,Precipitation
DF,Summer,5,20,50,small,Qat,No,79.3,Spontaneous
RF,Fall,5,9,50,small,Kec,Yes,60.1,Spontaneous
DS,Fall,50,200,500,medium,Ks,No,57.3,Precipitation
DF,Fall,50,200,500,medium,Qat,No,72.4,Precipitation
RS,Fall,5,20,50,small,Kgp,No,70.1,Precipitation
RS,Fall,500,2000,5000,large,Ks,No,65.5,Spontaneous
RF,Fall,50,200,500,medium,Ks,Yes,80.4,Freeze-Thaw
RS,Spring,50,200,500,medium,Kec,No,77.7,Spontaneous
DF,Winter,5,60,50,medium,Qat,No,58.0,Precipitation
RS,Winter,5,104,50,medium,Khd,No,60.1,Precipitation
RS,Winter,5,415,50,medium,Khd,No,56.9,Precipitation
DF,Winter,50,200,500,medium,Khd,No,81.2,Precipitation
DF,Winter,5,4500,50,large,Qat,No,69.2,Precipitation
RS,Winter,50,200,500,medium,Kga,No,71.7,Precipitation
RF,Winter,5,2,50,small,Kec,Yes,75.3,Precipitation
RS,Winter,5,691,50,large,Khd,No,71.0,Precipitation
RS,Spring,5,20,50,small,Ks,No,76.6,Precipitation
RS,Spring,5,1,50,small,Khd,No,66.3,Spontaneous
RF,Spring,5,31,50,small,Kec,Yes,74.7,Spontaneous
RF,Spring,50,200,500,medium,Ks,Yes,81.1,Spontaneous
RF,Spring,5,20,50,small,Ks,Yes,67.4,Spontaneous
RS,Spring,5,128,50,medium,Khd,No,66.6,Spontaneous
RF,Winter,5,600000,50,large,Kec,Yes,74.3,Spontaneous
RF,Spring,5,118,50,medium,Khd,Yes,72.9,Precipitation
RS,Spring,0,2,5,small,Kgp,No,58.9,Precipitation
RS,Spring,5,102,50,medium,Khd,No,76.7,Spontaneous
RS,Spring,5,15,50,small,Khd,No,75.3,Spontaneous
RF,Summer,5,20,50,small,Kec,Yes,87.1,Spontaneous
RF,Summer,5,20,50,small,Khd,Yes,80.1,Spontaneous
RF,Summer,500,2000,5000,large,Khd,Yes,61.1,Spontaneous
RF,Fall,5,1,50,small,Khd,Yes,56.9,Freeze-Thaw
RF,Summer,5,1,50,small,Khd,Yes,66.0,Spontaneous
RS,Summer,5,3,50,small,Khd,No,64.3,Spontaneous
RF,Spring,0,2,5,small,Kgp,Yes,68.7,Spontaneous
RF,Spring,50,200,500,medium,Klt,Yes,65.7,Spontaneous
RS,Winter,5,44,50,small,Krm,No,59.2,Precipitation
RS,Spring,0,2,5,small,Ks,No,71.4,Spontaneous
RF,Spring,5,69,50,medium,Qat,Yes,60.8,Spontaneous
RF,Summer,0,2,5,small,Ks,Yes,76.8,Spontaneous
RF,Spring,0,2,5,small,Khd,Yes,74.8,Precipitation
RF,Fall,5,20,50,small,Khd,Yes,61.3,Spontaneous
RS,Fall,5,518,50,large,Kec,No,65.7,Earthquake
RF,Fall,5,20,50,small,Ks,Yes,74.9,Earthquake
RS,Fall,5,20,50,small,Kg,No,58.1,Earthquake
DSL,Winter,50,200,500,medium,Qat,No,61.1,Spontaneous
RF,Winter,100,150,200,medium,Kid,Yes,78.0,Spontaneous
RF,Winter,5,173,50,medium,Kec,Yes,74.7,Precipitation
DF,Summer,5,675,50,large,Qat,No,79.5,Precipitation
RF,Summer,5,1100,50,large,Ks,Yes,71.7,Spontaneous
RS,Winter,5,3,50,small,Khd,No,53.7,Spontaneous
RF,Winter,5,20,50,small,Kga,Yes,63.7,Spontaneous
RF,Winter,5,42500,50,large,Khd,Yes,55.8,Spontaneous
DF,Spring,5,40,50,small,Qat,No,77.7,Precipitation
RS/RF,Summer,5,6650,50,large,Kgp,No,83.2,Spontaneous
RS/RF,Summer,5,31350,50,large,Kgp,No,50.7,Spontaneous
RS/RF,Summer,5,3750,50,large,Kgp,No,64.5,Spontaneous
RF,Fall,5,3209,50,large,Khd,Yes,72.2,Precipitation
DF,Winter,5,8575,50,large,Qat,No,77.3,Spontaneous
ESL,Winter,5,20,50,small,Qat,No,73.6,Spontaneous
ESL,Winter,5,950,50,large,Qat,No,62.7,Spontaneous
RS,Winter,5,1,50,small,Khd,No,57.6,Spontaneous
RS,Winter,5,1,50,small,Qat,No,65.6,Spontaneous
DF,Winter,5,1600,50,large,Qat,No,58.8,Spontaneous
RF,Spring,2000,2250,2500,large,Khd,Yes,64.5,Spontaneous
RF,Winter,1000,1200,1400,large,Kec,Yes,87.6,Spontaneous
RS,Winter,5,20,50,small,Ks,No,75.0,Spontaneous
RS,Winter,5,2,50,small,Kgp,No,69.5,Spontaneous
RF,Winter,5,20,50,small,Kcp,Yes,65.8,Spontaneous
RF,Spring,5,45,50,small,Kgp,Yes,67.0,Spontaneous
RF,Summer,3,4,5,small,Kt,Yes,79.8,Spontaneous
RF,Fall,5,563,50,large,Kgp,Yes,73.9,Precipitation
RF,Spring,500,1000,1500,large,Kec,Yes,75.4,Spontaneous
RF,Spring,5,21,50,small,Kec,Yes,73.1,Spontaneous
RF,Spring,5,41,50,small,Kgp,Yes,61.5,Spontaneous
RF,Spring,5,213,50,medium,Kgp,Yes,78.3,Spontaneous
RF,Spring,5,3,50,small,Kgp,Yes,50.3,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,68.7,Spontaneous
RF,Summer,5,2,50,small,Kgp,Yes,85.7,Precipitation
RF,Summer,29,36,43,small,Khd,Yes,82.2,Spontaneous
RF,Fall,0,2,5,small,Kec,Yes,67.5,Spontaneous
RF,Fall,0,2,5,small,Kgp,Yes,65.1,Precipitation
RF,Fall,500,2000,5000,large,Ks,Yes,71.2,Spontaneous
RF,Fall,5,4250,50,large,Ks,Yes,72.6,Precipitation
RF,Winter,5,3,50,small,Kga,Yes,60.7,Spontaneous
RF,Winter,5,17477,50,large,Ks,Yes,76.8,Spontaneous
RF,Winter,5,40,50,small,Ks,Yes,62.5,Spontaneous
RF,Winter,5,21747,50,large,Ks,Yes,51.0,Precipitation
RF,Winter,5,281,50,medium,Ks,Yes,70.5,Spontaneous
RF,Winter,0,2,5,small,Kgp,Yes,54.8,Precipitation
RS,Spring,5,113,50,medium,Khd,No,80.3,Spontaneous
RF,Spring,5,14,50,small,Ks,Yes,55.4,Precipitation
RF,Spring,0,1,1,small,Kgp,Yes,73.1,Spontaneous
RS,Summer,5,29,50,small,Khd,No,53.2,Spontaneous
RF,Summer,5,21,50,small,Kgp,Yes,82.1,Spontaneous
RF,Fall,5,108,50,medium,Ks,Yes,62.4,Precipitation
RF,Winter,5,8,50,small,Kga,Yes,86.0,Spontaneous
RS,Winter,5,6,50,small,Qat,No,72.7,Spontaneous
RF,Spring,0,0,0,small,Kgp,Yes,61.0,Precipitation
RF,Spring,0,2,5,small,Ks,Yes,79.2,Spontaneous
RF,Summer,0,2,5,small,Ks,Yes,73.1,Spontaneous
