Type of slope movement,Season,Year,Month,Day,Time (PST),Minimum volume,Median/best estimate volume,Maximum volume,Relative size,Rock unit,Triggering condition(s),Rockfall
RF,,1857,,,,50000,200000,500000,extremely large,Kec,UKN,Yes
RF,,1858,,,,-,185000,-,extremely large,Ks/Kec,UKN,Yes
RF,Spring,1860,6,11,,500,2000,5000,large,Ks/Kec,F/T,Yes
RF,Fall,1864,11,13,late pm,5000,20000,50000,very large,Ks,P,Yes
RF,,"1868, pre",,,,5000,20000,50000,very large,Kec,UKN,Yes
RF,Summer,1870,7,01-Jul,,-,70,-,medium,Khd,L,Yes
RF,Summer,1870,8,6,early pm,5000,20000,50000,very large,Kgp,UNR,Yes
RF,Spring,1872,3,26,02:30,5000,20000,50000,very large,Kgp,EQ,Yes
RF,Spring,1872,3,26,02:30,-,36000,-,very large,Khd,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Ks,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Ks,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Khd,EQ,Yes
RS,Spring,1872,3,26,03:30,500,2000,5000,large,Kgp,EQ,No
SA,Winter,1873,3,5,,0.5,2,5,very small,Ks/Kec,SA,No
RF,Winter,1873,3,12,,5000,20000,50000,very large,Ks/Kec,UKN,Yes
RS,Fall,1886,,,,500,2000,5000,large,Qat,UKN,No
RF,Spring,1886,3,21,am,-,1500,-,large,Kga,UKN,Yes
RF,Spring,1886,4,17,,-,1000,-,large,Kec,UNR,Yes
RS,Spring,1886,4,19,,50,200,500,medium,Ks,UKN,No
RS,Spring,1886-1905,5,,,-,3,-,very small,Kgp/Kec,UKN,No
RS,Summer,1886-1905,05-Sep,,,500,2000,5000,large,Kgp,UKN,No
RS,Spring,1892,5,1,,0.5,2,5,very small,Kgp,UKN,No
RS,Fall,1892,12,19,,5,20,50,small,Qat,P,No
RS,Fall,1892,12,19,,5,20,50,small,Kec,P,No
RS,Winter,1897,1,26,,5,20,50,small,Kgp,UKN,No
RS,Winter,1898-99,,,,5,20,50,small,Khd,UKN,No
RS,Spring,1900,4,,,5,20,50,small,Kgp/Kec,UKN,No
RS,Spring,1901,4,,,5,20,50,small,Kgp/Kec,UKN,No
RF,Spring,1901,5,,,0.5,2,5,very small,Khd,UKN,Yes
RS,Spring,1901,5,,,5,20,50,small,Kgp/Kec,UKN,No
RS,Spring,1901,6,,,5,20,50,small,Kec,UKN,No
RS,Winter,1907,,,,5000,20000,50000,very large,Khd,R/S,No
RS,Winter,1909,1,,,500,2000,5000,large,Kec,P,No
RS,Winter,1909,1,,,50,200,500,medium,Kec/Kdg,P,No
RS,Winter,1909,1,,,50,200,500,medium,Kec/Kdg,P,No
RS,Winter,1911,1,16-31,,5,20,50,small,Ka/Kga,P,No
RS,Spring,1912,,,,5,20,50,small,Kg/Kec,UKN,No
RF,Fall,1912,12,,,50,200,500,medium,Ks/Kec,UKN,Yes
RS,Spring,1913,6,4,,50,200,500,medium,Kga,P,No
DS,Spring,1913,6,4,,5,20,50,small,Qat,P,No
DS,Spring,1913,6,4,,5,20,50,small,Qat,P,No
RS,Spring,1913,7,,,5,20,50,small,Khd,P,No
RS,Fall,1913,12,,,50,200,500,medium,,P,No
RS,Winter,1914,1,,,500,2000,5000,large,Kga,P,No
RS,Winter,1914,1,,,50,200,500,medium,,UKN,No
RS,Winter,1914,1,,,50,200,500,medium,Kgp/Kec,P,No
RS,Winter,1914,1,,,5,20,50,small,Khd,P,No
DF,Winter,1914,1,,,5,20,50,small,Qat,P,No
DF,Winter,1914,1,,,5,20,50,small,Qat,P,No
RF,Winter,1915-1916,,,,500,2000,5000,large,Khd,P,Yes
RS,Winter,1915,1,27,,-,15,-,small,Kg/Kec,UKN,No
RS,Winter,1917,2,,,50,200,500,medium,Ka/Kga,P,No
DS,Winter,1917,02-Mar,,,-,57,-,medium,Qat,P,No
RF,,1918?,,,,50,200,500,medium,Khd/Kgp ,UKN,Yes
RS,Winter,1918,3,,,50,200,500,medium,Ka/Kga,P,No
DS,Fall,1918,9,27-Jan,,50,200,500,medium,Qat,P,No
RS,Fall,1918,9,27-Jan,,50,200,500,medium,Kg,P,No
RS,Fall,1918,11,28,,5,20,50,small,Kga,UKN,No
RS,Winter,1919,3,,,50,200,500,medium,Ka/Kga,UKN,No
RF,Spring,1919,5,28,pm,5,20,50,small,Khd,P,Yes
DS,Spring,1919,5,28,pm,5,20,50,small,Qat,P,No
DF/DS,Spring,1919,5,28,pm,5,20,50,small,Qat,P,No
DF,Spring,1919,5,28,pm,50,200,500,medium,Qat,P,No
RS,Summer,1919,8,,,-,8450,-,very large,Kga,C,No
RS,Summer,1919,8,17,17:30,50,200,500,medium,Kec,UKN,No
RS,Winter,1920,3,,,5,20,50,small,Kec,UKN,No
RF,Spring,1920,4,,,500,2000,5000,large,Kga,P,Yes
RF,Fall,1920,9,28,20:30,5,20,50,small,Kid/Kec,UKN,Yes
DS,Winter,1921,1,16-30,,500,2000,5000,large,Qat,P,No
DS,Winter,1921,1,28,late pm,5,20,50,small,Qat,P,No
RF,Summer,1921,9,16,13:15,5,20,50,small,Ks,UKN,Yes
RS,Winter,1921,12,24-31,,50,200,500,medium,Ka/Kga,P,No
RS,Winter,1922,2,,,0.5,2,5,very small,Ka/Kga,P,No
DS,Winter,1922,2,,,50,200,500,medium,Qat,P,No
RS,Winter,1922,2,,,500,2000,5000,large,Ka/Kga,P,No
RS,Winter,1922,3,,,50,200,500,medium,Ka/Kga,P,No
RS,Summer,1922,7,21,am,50,200,500,medium,Kgp,P,No
RF,Winter,1923,1,"3,5",17:00,5000,20000,50000,very large,Ks,UNR,Yes
RS,Winter,1924-1925,,,,5,20,50,small,Khd,P,No
DS,Winter,1924-1925,,,,50,200,500,medium,Qat,UKN,No
RS,Winter,1924,1,,,5,20,50,small,Kga,UKN,No
RS,Summer,1924,9,,,50,200,500,medium,Kdg,UKN,No
RS,Summer,1924,9,17,,-,242,-,medium,Kga,C,No
RS,Fall,1924,11,9,,5,20,50,small,Khd,P,No
RS,Fall,1924,11,09-Oct,,5,20,50,small,,P,No
RS,Fall,1924,12,,,50,200,500,medium,,P,No
RS,Winter,1925,2,,,500,2000,5000,large,Kgp/Kec,P,No
RS,Winter,1925,2,5,pm,5,20,50,small,Ka/Kga,P,No
RS/DF,Winter,1925,2,5,pm,-,1275,-,large,Ka/Kga,P,No
RS,Winter,1926,3,15-17,,50,200,500,medium,Ka/Kga,UKN,No
RS,Winter,1927,2,,,500,2000,5000,large,Ka/Kga,P,No
RS,Fall,1927,10,,,50,200,500,medium,Ka/Kga,P,No
RS,Fall,1927,10,,,50,200,500,medium,,P,No
RS,Spring,1928,3,25-31,,5,20,50,small,Ka/Kga,R/S,No
RS,Spring,1928,4,,,50,200,500,medium,,UKN,No
RS,Winter,1930,1,,00:00,5,20,50,small,Ka/Kga,UKN,No
RS,Winter,1930,1,,,50,200,500,medium,Ks,UKN,No
RS,Winter,1930,2,,,5,20,50,small,Ka/Kga,UKN,No
RS,Winter,1930,2,,,50,200,500,medium,,UKN,No
RS,Winter,1930,2,1,,-,92,-,medium,,P,No
RS/DS,Winter,1930,3,,,5,20,50,small,Kec,UKN,No
RS,Winter,1930,3,17,,50,200,500,medium,Ks,UKN,No
RS,Winter,1930,3,18,04:20,50,200,500,medium,Kec,UKN,No
RS,Winter,1930,3,18,04:40,-,See ID 1930031801,-,See ID 1930031801,Kec,UKN,No
RS,Winter,1930,3,18,05:00,-,See ID 1930031801,-,See ID 1930031801,Kec,UKN,No
RS,Summer,1930,7,,,50,200,500,medium,Kdg,UKN,No
RS,Summer,1930,9,8,,5,20,50,small,Khd,UKN,No
RS,Fall,1930,11,,,5,20,50,small,Ka/Kga,P,No
DS,Winter,1931-32,,,,5,20,50,small,Qat,SM,No
RS/DS,Winter,1931-32,,,,-,9182,-,very large,Kec,SM,No
RS,Winter,1931,1,,,5,20,50,small,Ka/Kga,UKN,No
RS,Winter,1931,2,,,5,20,50,small,,UKN,No
RS,Winter,1931,2,24,,0.5,2,5,very small,Ks/Kec,UKN,No
RS,Spring,1931,6,,,5,20,50,small,,UKN,No
RS,Fall,1931,10,25,,50,200,500,medium,Ka/Kga,P,No
RS,Winter,1931,12,21-29,,-,180,-,medium,Ka/Kga,P,No
RS,Winter,1931,12,21-29,,5,20,50,small,Ka/Kga,P,No
RS,Winter,1931,12,21-29,,5,20,50,small,Ka/Kga,P,No
RS,Winter,1931,12,21-29,,-,25,-,small,Ka,P,No
RF,Winter,1931,12,26,,0.5,2,5,very small,Kga,P,Yes
RS,Winter,1932-33,,,,5,20,50,small,Khd,UKN,No
RS,Winter,1932-33,,,,5,20,50,small,Khd,UKN,No
RS,Winter,1932-33,,,,5,20,50,small,Khd,UKN,No
RS,Winter,1932,2,11,,-,51,-,medium,Kga,UKN,No
DSL,Winter,1932,3,,,50,200,500,medium,Qat,C,No
RS,Winter,1932,3,,,50,200,500,medium,Ks,UKN,No
RF,Spring,1932,4,,,50,200,500,medium,Khd,UKN,Yes
RF,Spring,1932,4,,,5,20,50,small,Khd,UKN,Yes
RS,Spring,1932,4,,,5,20,50,small,Kec/Kdg,UKN,No
RS,Spring,1932,4,,,-,1,-,very small,Kdg,UKN,No
RF,Spring,1932,5,22,pm,500,2000,5000,large,Ks,F/T,Yes
RF,Spring,1932,5,24,04:00,50,200,500,medium,Kgp/Kec,F/T,Yes
RF,Spring,1932,5,25,pm,5,20,50,small,Ks,F/T,Yes
RS,Spring,1932,5,25,pm,5,20,50,small,Kgp,F/T,No
RS,Fall,1932,11,,,0.5,2,5,very small,Qat,UKN,No
RS,Fall,1932,12,20,22:00,0.5,2,5,very small,,EQ,No
RS,Winter,1933,3,,,-,118,-,medium,Kec,UKN,No
RS,Winter,1933,3,19,,-,600,-,large,Kga,SM,No
RS,Spring,1933,3,23,,500,2000,5000,large,Kga,SM,No
RS,Fall,1933,10,30-31,,50,200,500,medium,Ka/Kga,"P,W",No
RS,Winter,1934,1,,,5,20,50,small,Ka/Kga,UKN,No
RS,Fall,1934,11,23,,50,200,500,medium,Kdg,P,No
RS,Winter,1935,1,,,5,20,50,small,Kga,UKN,No
RS,Winter,1935,2,,,5,20,50,small,Ka/Kga,P,No
RS,Winter,1935,3,,,5,20,50,small,Ka/Kga,UKN,No
RS,Spring,1935,4,,,50,200,500,medium,Ka/Kga,P,No
DS,Spring,1935,4,,,5,20,50,small,Qat,P,No
RS,Spring,1935,4,10,00:15,50,200,500,medium,Ks,UKN,No
RS,Spring,1935,5,25,,50,200,500,medium,Kec,B,No
RS,Summer,1935,7,,,5000,20000,50000,very large,Krm,UKN,No
RS,Winter,1936-37,,,,50,200,500,medium,Kgp/Kec,UKN,No
RS/DS,Winter,1936,2,,,50,200,500,medium,,P,No
RS,Winter,1936,2,01-Jul,,5,20,50,small,Ks/Kec,P,No
DS,Winter,1936,3,,,50,200,500,medium,Qat,UKN,No
RS,Spring,1936,4,,,5,20,50,small,Ka/Kga,C,No
DS,Spring,1936,4,,,500,2000,5000,large,Qat,UKN,No
DS,Spring,1936,4,,,50,200,500,medium,Qat,C,No
RS,Spring,1936,5,,,50,200,500,medium,Ks/Kec,UKN,No
DF,Winter,1937,2,5,,500,2000,5000,large,Qat,P,No
DS,Winter,1937,2,5,,5,20,50,small,Qat,P,No
DF,Winter,1937,2,16,,5,20,50,small,Qat,P,No
RS,Winter,1937,3,,,-,140,-,medium,Khd,UKN,No
DF,Fall,1937,12,09-Dec,,-,765,-,large,Qat,P,No
RS,Fall,1937,12,09-Dec,,50,200,500,medium,Kec/Kdg,P,No
RS,Fall,1937,12,09-Dec,,5,20,50,small,Kec,P,No
DF,Fall,1937,12,09-Dec,,500,2000,5000,large,Qat,P,No
RS,Fall,1937,12,09-Dec,,50,200,500,medium,Pzme / Kga,P,No
DF,Fall,1937,12,11,,500,2000,5000,large,Qat,P,No
RS,Fall,1937,12,11,,50,200,500,medium,,P,No
RS,Winter,1938-39,,,,5,20,50,small,Khd,UKN,No
DS,Winter,1938,2,,,50,200,500,medium,Qat,P,No
DSL,Spring,1938,5,14,18:00,50,200,500,medium,Qat,UNR,No
RS,Summer,1938,8,2,04:30,50,200,500,medium,Kgp,UNR,No
RS,Summer,1938,8,28,,5,20,50,small,Khd,UKN,No
RS,Winter,1939-40,,,,50,200,500,medium,,UKN,No
RS,Winter,1939-40,,,,50,200,500,medium,,UKN,No
RS,Winter,1940,3,,,500,2000,5000,large,Ks,UKN,No
RS,Winter,1941,2,,,5,20,50,small,Ks,UKN,No
ESL,Winter,1941,2,,,50,200,500,medium,Qat,SM,No
RS,Winter,1941,3,,,-,42,-,small,Kec,UKN,No
DS,Winter,1941,3,,,5,20,50,small,Qat,SM,No
DSL,Winter,1941,3,,,50,200,500,medium,Qat,SM,No
RS/DS,Fall,1941,10,2,,50,200,500,medium,,W,No
RS,Spring,1942,4,,,-,83,-,medium,Ks/Kec,UKN,No
RS,Spring,1942,4,21,,-,864,-,large,Kec,UKN,No
RS,Winter,1943,3,18,23:50,5000,20000,50000,very large,Kec,UKN,No
RS,Winter,1945,2,2,,50,200,500,medium,Kga,UKN,No
RS,Spring,1945,5,,,5000,20000,50000,very large,Kdg,UKN,No
DS,Spring,1946,,,,-,460,-,medium,Qat,SM,No
RS,Fall,1946,11,8,,5,20,50,small,Qat,P,No
RS,Fall,1946,11,8,,5,20,50,small,Qat,P,No
RS,Fall,1946,11,8,,50,200,500,medium,Ks/Kec,P,No
RS,Fall,1946,11,8,,50,200,500,medium,,P,No
RS,Fall,1946,11,8,,5,20,50,small,Kgp/Kec,P,No
RS,Winter,1947-48,,,,50,200,500,medium,,UKN,No
RF,Winter,1947,2,,,-,1,-,very small,Kec,UKN,Yes
RF,Fall,1947,10,,,50,200,500,medium,Kga/Kec,UKN,Yes
RS,Winter,1948,1,,,500,2000,5000,large,Ks,UKN,No
RS,Winter,1948,1,,,50,200,500,medium,Ka/Kga,UKN,No
RS,Winter,1948,3,,,500,2000,5000,large,,P,No
RS,Spring,1948,4,,,50,200,500,medium,Ka/Kga,UKN,No
RS,Spring,1948,4,,,500,2000,5000,large,Kec,UKN,No
RF,Summer,1948,7,2,,0,0.2,0.5,extremely small,Khd,UKN,Yes
RS,Fall,1948,10,,,5,20,50,small,Ka/Kga,UKN,No
RS,Winter,1949,2,,,5,20,50,small,Ka/Kga,UKN,No
RS,Winter,1949,2,,,5,20,50,small,,UKN,No
RS,Summer,1949,7,,,-,3,-,very small,Khd/Kgp ,UKN,No
RF,Summer,1949,7,21,,-,0.1,-,extremely small,Kgp,UKN,Yes
RS,Fall,1949,10,23,13:40,5000,20000,50000,very large,Ks,"F/T, TS",No
RS,Fall,1949,10,23,13:40,5000,20000,50000,very large,Ks,GV,No
DS,Winter,1950,1,5,,-,138,-,medium,Qat,UKN,No
RS,Summer,1950,7,,,-,23,-,small,Kec,UKN,No
DF,Fall,1950,11,13-18,,-,100,-,medium,Qat,R/S,No
RF,Fall,1950,11,13-18,,-,4,-,very small,Khd,R/S,Yes
RS,Winter,1951-52,,,,-,84,-,medium,Khd,UKN,No
RS,Winter,1951-52,,,,-,3,-,very small,Khd,UKN,No
RS,Spring,1951,3,31,,-,765,-,large,Kga,C,No
RS,Spring,1951,4,,,50,200,500,medium,Kga,C,No
RS,Spring,1951,4,22,,-,12,-,small,Khd,UKN,No
RS,Spring,1951,6,,,0.5,2,5,very small,Kec,UKN,No
RS,Summer,1951,8,24,,-,15,-,small,Khd,UKN,No
RS,Winter,1952,1,,,5,20,50,small,Ka,UKN,No
RS,Winter,1952,3,,,50,200,500,medium,Ka/Kga,UKN,No
RS,Summer,1952,8,,,-,5,-,small,Khd,UKN,No
RS,Summer,1952,8,,,-,17,-,small,Khd,UKN,No
RS,Winter,1953-54,,,,5,20,50,small,Ks/Kec,UKN,No
RF,Spring,1953,4,,,-,153,-,medium,Kec,C,Yes
RS,Winter,1954,3,,,5,20,50,small,Kec,UKN,No
RS,Summer,1954,6,21,,-,2,-,very small,Khd,UNR,No
RS,Fall,1954,10,30,22:44,5,20,50,small,Khd,EQ,No
RS,Winter,1955,2,2,17:30,5,20,50,small,Ka/Kga,UKN,No
RF,Spring,1955,5,15,,-,1,-,very small,Khd,UKN,Yes
DF,Winter,1955,12,23,,50,200,500,medium,Qat,R/S,No
RS,Winter,1955,12,23,,5,20,50,small,Ks/Kec,R/S,No
RS,Winter,1955,12,23,,5,20,50,small,Khd,R/S,No
DF,Winter,1955,12,23,,-,153,-,medium,Qat,R/S,No
DF,Winter,1955,12,23,,-,31,-,small,Qat,R/S,No
DF,Winter,1955,12,23,,-,421,-,medium,Qat,R/S,No
DF,Winter,1955,12,23,,-,50,-,medium,Qat,R/S,No
RS,Winter,1955,12,23,,50,200,500,medium,Ka,R/S,No
DS,Winter,1955,12,23,,500,2000,5000,large,Qat,R/S,No
RS,Winter,1955,12,23,,50,200,500,medium,,R/S,No
RS,Winter,1956,1,14,,5,20,50,small,Kga,UKN,No
RS,Spring,1956,6,,,-,77,-,medium,Kga,UKN,No
RF,Spring,1957,3,24,,-,1,-,very small,Khd,UKN,Yes
RS,Summer,1957,8,4,23:00,50,200,500,medium,Kgp,UKN,No
RS,Winter,1958,3,,,-,230,-,medium,,P,No
DS,Winter,1958,3,,,-,383,-,medium,Qat,P,No
RS,Spring,1958,5,,,5,20,50,small,Khd,UKN,No
RF,Fall,1958,12,,,-,2,-,very small,Kgp,UKN,Yes
RF,Spring,1960,3,22,,-,2,-,very small,Kgp,UKN,Yes
RS,Spring,1960,4,23,,500,2000,5000,large,Ka/Kga,UKN,No
RS,Spring,1961,,,,5,20,50,small,Krm,UKN,No
RS,Fall,1962,11,17,16:10,5,20,50,small,Kec/Ks,UKN,No
RS,Spring,1963,,,,0.5,2,5,very small,Khd,UKN,No
RS,Spring,1963,,,,-,1,-,very small,Qat,UKN,No
RS,Winter,1963,1,31-Mar,,50,200,500,medium,Ks,R/S,No
DF,Winter,1963,2,,,-,230,-,medium,Qat,R/S,No
DF,Winter,1963,2,,,-,77,-,medium,Qat,R/S,No
RS,Winter,1963,3,,,-,23,-,small,Kec,UKN,No
RS,Winter,1963,3,,,5,20,50,small,Khd,UKN,No
RF,Spring,1963,4,,,5,20,50,small,Kga,UKN,Yes
RS,Spring,1963,4,17,am,-,207,-,medium,Ka/Kga,UKN,No
RS,Spring,1963,4,20,pm,50,200,500,medium,Ka/Kga,P,No
RS,Spring,1963,6,7,,50,200,500,medium,Kg,UKN,No
RS,Spring,1964,,,,-,1,-,very small,Kg,UKN,No
RS,Spring,1965,5,,,5,20,50,small,Kgp/Kec,UKN,No
DF,Summer,1965,7,,,50,200,500,medium,Qat,P,No
RS,Spring,1966,,,,5,20,50,small,Kgp/Ks,UKN,No
RS,Spring,1967,,,,-,9,-,small,Khd,UKN,No
RS,Spring,1967,,,,5,20,50,small,Khd,UKN,No
RF,Summer,1967-68,07-Aug,,9:30-10:30,-,1500,-,large,Khd,UNR,Yes
RS,,1968,,,,5,20,50,small,Kec,UKN,No
RS,Winter - Spring,1970,,,,5,20,50,small,Khd,UKN,No
RS,Winter,1970-71,,,,50,200,500,medium,Kgp,UKN,No
RS,Fall,1970,12,,,-,6000,-,very large,Kec,UKN,No
RS,Spring,1971,,,,-,15,-,small,Kyc / Kec,UKN,No
RF,,1971?,,,,-,160,-,medium,Kec,UKN,Yes
RS,Winter,1971,3,4,am,-,18000,-,very large,Kec,UNR,No
RS,Spring,1972,,,,5,20,50,small,Kec,UKN,No
RS,Spring,1973,,,,5,20,50,small,Khd,UKN,No
RS,Spring,1973,6,,,5,20,50,small,Kec,UNR,No
RF,Spring,1973,6,,,50,200,500,medium,Khd,UNR,Yes
RS,Spring,1974,,,,5,20,50,small,Qat,UKN,No
DS,Spring,1974,,,,5,20,50,small,Qat,SM,No
RF,Winter,1974,3,15,,-,1,-,very small,Khd,F/T,Yes
RS,Winter - Spring,1975,,,,5,20,50,small,Kgi / Kg,UKN,No
RS,Spring,1975,,,,5,20,50,small,Krm,UKN,No
RF,,1975,,,,50,200,500,medium,Kt,UKN,Yes
RF,Spring,1975,5,,,-,200,-,medium,Kec,UKN,Yes
RF,,1976,,,,-,510,-,large,Kec,UKN,Yes
RS,,1976-77,,,,50,200,500,medium,Kec,UKN,No
RF,Spring,1977,,,,0.5,2,5,very small,Khd,UKN,Yes
RF,Spring,1977,,,,-,2280,-,large,Kec,"L,P",Yes
RS,Spring,1977,,,,5,20,50,small,Ks,UKN,No
RF,Spring,1977,,,,0.5,2,5,very small,Khd,UKN,Yes
RF,Spring,1977,,,,-,3000,-,large,Khd,UKN,Yes
RS,Spring,1977,,,,5,20,50,small,Kgp,UKN,No
RS,Spring,1977,,,,5,20,50,small,Kgp,UKN,No
DF,Summer,1977,6,28,14:30,500,2000,5000,large,Qat,P,No
RS,Spring,1978,,,,500,2000,5000,large,Krm,UKN,No
RS,Spring,1978,,,,5,20,50,small,Ks,UKN,No
RS,Summer,1978,9,,,5,20,50,small,Khd,UKN,No
RS,Spring,1980,,,,0.5,2,5,very small,Khd,F/T,No
RF,Winter,1980,1,12,06:17,500,2000,5000,large,Kec,P,Yes
DF,Winter,1980,1,12,11:00,50,200,500,medium,Qat,P,No
RS,Winter,1980,1,Dec-13,,50,200,500,medium,Ks,P,No
RS,Winter,1980,1,13,21:00,5,20,50,small,Kec,P,No
RS,Winter,1980,1,13,23:59,50,200,500,medium,Pzme / Kga,P,No
RF,Spring,1980,5,25,08:00,50,200,500,medium,Khd,EQ,Yes
RF,Spring,1980,5,25,08:00,50,200,500,medium,Qat,EQ,Yes
RS,Spring,1980,5,25-27,,5,20,50,small,Kec,EQ,No
RS,Spring,1980,5,25-27,,50,200,500,medium,Khd,EQ,No
RF,Spring,1980,5,27,06:51,50,200,500,medium,Ka,EQ,Yes
RF,Spring,1980,5,27,,5,20,50,small,Ks,EQ,Yes
RF,Spring,1980,5,27,,0.5,2,5,very small,Khd,EQ,Yes
RS,Spring,1980,5,27,,500,2000,5000,large,Ks,EQ,No
RF,Spring,1980,5,27,,-,8,-,small,Ks,EQ,Yes
RF,Fall,1980,10,4,08:00-09:00,-,100,-,medium,Khd,UNR,Yes
RF,Fall,1980,10,6,12:00-12:30,-,1,-,very small,Kec,UNR,Yes
RS,Fall,1980,10,7,21:50,5,20,50,small,Khd,UKN,No
